Food,Serving,Calories
3 Musketeers,100g,400 cal
Acai,100g,70 cal
Acerola,100g,32 cal
After Eight,100g,452 cal
Airheads,100g,375 cal
Alligator,100g,232 cal
Almond Milk,100ml,17 cal
Almond Roca,100g,571 cal
Anchovy,100g,131 cal
Angel Delight,100g,451 cal
Angel Food Cake,100g,258 cal
Animal Crackers,100g,446 cal
Apple,100g,52 cal
Apple Cake,100g,252 cal
Apple Cobbler,100g,198 cal
Apple Crisp,100g,156 cal
Apple Crumble,100g,156 cal
Apple Pie,100g,237 cal
Apple Strudel,100g,274 cal
Apple Turnover,100g,348 cal
Applesauce,100g,68 cal
Applesauce Cake,100g,358 cal
Apricot,100g,48 cal
Arby’s Grand Turkey Club,100g,210 cal
Arby’s Reuben,100g,208 cal
Arby’s Roast Beef Classic,100g,234 cal
Arby’s Roast Beef Max,100g,234 cal
Artichoke,100g,47 cal
Arugula,100g,25 cal
Asian Pear,100g,42 cal
Asparagus,100g,20 cal
Aubergine,100g,25 cal
Avocado,100g,160 cal
Baby Ruth,100g,469 cal
Baked Alaska,100g,247 cal
Bakewell Tart,100g,430 cal
Banana,100g,89 cal
Banoffee Pie,100g,395 cal
Baskin-Robbins,100g,239 cal
BBQ Rib,100g,212 cal
Bean Burrito,100g,200 cal
Beef,100g,248 cal
Beef Brisket,100g,242 cal
Beef Jerky,100g,410 cal
Beef Ribs,100g,238 cal
Beef Tenderloin,100g,218 cal
Beetroot,100g,43 cal
Bell Pepper,100g,20 cal
Ben and Jerry’s,100g,228 cal
Big N’ Tasty,100g,223 cal
Birthday Cake,100g,465 cal
Black and White Cookie,100g,381 cal
Black Forest Cake,100g,264 cal
Black Olives,100g,115 cal
Blackberries,100g,43 cal
Blood Oranges,100g,50 cal
Blueberries,100g,57 cal
Blueberry Cobbler,100g,234 cal
Blueberry Muffin,100g,377 cal
Blueberry Pie,100g,232 cal
Bluefish,100g,159 cal
Bratwurst,100g,333 cal
Breadfruit,100g,103 cal
Bream,100g,135 cal
Broccoli,100g,34 cal
Brussels Sprouts,100g,43 cal
Bundt Cake,100g,370 cal
Burger King Angry Whopper,100g,255 cal
Burger King Double Whopper,100g,239 cal
Burger King Double Whopper with Cheese,100g,249 cal
Burger King Original Chicken Sandwich,100g,301 cal
Burger King Premium Alaskan Fish Sandwich,100g,259 cal
Burger King Triple Whopper,100g,269 cal
Burger King Whopper,100g,231 cal
Burger King Whopper Jr.,100g,234 cal
Burger King Whopper with Cheese,100g,241 cal
Butter Pecan Ice Cream,100g,248 cal
Butterfinger,100g,450 cal
Butterfish,100g,187 cal
Buttermilk,100ml,62 cal
Buttermilk Pancakes,100g,238 cal
Buttermilk Pie,100g,380 cal
Cabbage,100g,25 cal
Calamari,100g,175 cal
Candy Apple,100g,152 cal
Candy Cane,100g,423 cal
Candy canes,100g,423 cal
Candy Corn,100g,360 cal
Candy Floss,100g,400 cal
Cantaloupe,100g,34 cal
Cantaloupe Melon,100g,34 cal
Capsicum,100g,27 cal
Caramel Cake,100g,475 cal
Caramel Popcorn,100g,376 cal
Caramel squares,100g,367 cal
Carp,100g,162 cal
Carrot,100g,41 cal
Carrot Cake,100g,408 cal
Carvel,100g,212 cal
Casaba Melon,100g,28 cal
Cauliflower,100g,25 cal
Caviar,100g,264 cal
Celebrations,100g,490 cal
Celery,100g,16 cal
Chard,100g,19 cal
Cheeseburger,100g,263 cal
Cheesecake,100g,321 cal
Cheez-It’s,100g,533 cal
Cherimoya,100g,75 cal
Cherries,100g,50 cal
Cherry Pie,100g,260 cal
Cherry Tomato,100g,100 cal
Chess Pie,100g,411 cal
Chicken,100g,219 cal
Chicken Breast,100g,163 cal
Chicken Breast,100g,172 cal
Chicken Drumstick,100g,185 cal
Chicken Fajita,100g,147 cal
Chicken Fat,100g,898 cal
Chicken Giblets,100g,158 cal
Chicken Gizzards,100g,146 cal
Chicken Leg,100g,174 cal
Chicken Liver,100g,167 cal
Chicken McNuggets,100g,302 cal
Chicken Meat,100g,172 cal
Chicken Nuggets,100g,296 cal
Chicken Pizziola,100g,141 cal
Chicken Sandwich,100g,241 cal
Chicken Teriyaki Sandwich,100g,138 cal
Chicken Thigh,100g,229 cal
Chicken Wing,100g,266 cal
Chicken Wings,100g,324 cal
Chicory,100g,72 cal
Chinese Cabbage,100g,16 cal
Chives,100g,30 cal
Chocolate,100g,529 cal
Chocolate Bar,100g,533 cal
Chocolate Cake,100g,389 cal
Chocolate Chip Ice Cream,100g,215 cal
Chocolate Chips,100g,493 cal
Chocolate Cream Pie,100g,304 cal
Chocolate Ice Cream,100g,216 cal
Chocolate Mousse,100g,225 cal
Chocolate Mousse Cake,100g,260 cal
Chocolate Mousse Pie,100g,260 cal
Chocolate Muffin,100g,420 cal
Chop Suey,100g,172 cal
Chuck Steak,100g,277 cal
Ciao Bella,100g,109 cal
Clam,100g,148 cal
Clementine,100g,47 cal
Coconut Cake,100g,356 cal
Coconut Milk,100ml,230 cal
Cod,100g,105 cal
Coffee Cake,100g,331 cal
Coffee Creamer,100g,195 cal
Coffee Ice Cream,100g,236 cal
Cold Stone Creamery,100g,232 cal
Collard Greens,100g,32 cal
Condensed Milk,100g,321 cal
Cookie Dough Ice Cream,100g,200 cal
Cookies,100g,488 cal
Corn,100g,365 cal
Cottage Cheese,100g,98 cal
Cotton Candy,100g,643 cal
Courgette,100g,17 cal
Cranberries,100g,46 cal
Crawfish,100g,82 cal
Crayfish,100g,87 cal
Cream,100g,242 cal
Cream Puff,100g,334 cal
Creamed Spinach,100g,74 cal
Creme Fraiche,100g,393 cal
Crumb Cake,100g,441 cal
Crunchie McFlurry,100g,174 cal
Cubed Steak,100g,199 cal
Cucumber,100g,16 cal
Cupcake,100g,305 cal
Curd,100g,98 cal
Curly Fries,100g,311 cal
Currants,100g,56 cal
Custard,100g,122 cal
Custard Apple,100g,101 cal
Dairy Milk McFlurry,100g,186 cal
Danish Pastry,100g,374 cal
Dates,100g,282 cal
Dippin Dots,100g,224 cal
Donut,100g,403 cal
Double Cheeseburger,100g,267 cal
Double Rainbow,100g,257 cal
Doughnut,100g,403 cal
Dragon Fruit,100g,60 cal
Drumsticks,100g,255 cal
Duck,100g,337 cal
Durian,100g,147 cal
Eel,100g,236 cal
Egg Roll,100g,250 cal
Eggplant,100g,25 cal
Eggy Bread,100g,196 cal
Endive,100g,17 cal
Evaporated Milk,100g,135 cal
Fairy Cakes,100g,440 cal
Falafel,100g,335 cal
Feijoa,100g,55 cal
Fennel,100g,31 cal
Ferrero Rocher,100g,576 cal
Figs,100g,74 cal
Filet Mignon,100g,267 cal
Filet-o-Fish,100g,282 cal
Fish and Chips,100g,195 cal
Fish Fingers,100g,290 cal
Fish Sandwich,100g,273 cal
Fish Sticks,100g,290 cal
Flan,100g,145 cal
Flank Steak,100g,194 cal
Flapjack,100g,486 cal
Flat Iron Steak,100g,137 cal
Flounder,100g,86 cal
Flourless Chocolate Cake,100g,509 cal
Fortune Cookies,100g,214 cal
French Cruller,100g,412 cal
French Fries,100g,312 cal
